"LEAD_REFERENCE_NUMBER","CAMPAIGN_CODE","CIF","MARKETING_MESSAGE_LINE1","MARKETING_MESSAGE_LINE2","MARKETING_MESSAGE_LINE3","MARKETING_MESSAGE_LINE4","MARKETING_MESSAGE_LINE5","MARKETING_MESSAGE_LINE6","BRANCH_CODE","PERSONALIZED_MESSAGE","PRODUCT_OFFER","PROVINCE_CODE","REGION","CAMPAIGN_TYPE","LEAD_STATUS_CODE","OWNER_EMPLOYEE_ID","REFER_NAME","RESPONSE_DATE_TIME","RESPONSE_CODE"
"LMSV003970119","","3281927","","","","","","","719","","SVGATMX","","60201","","1","000405241","","2018-01-07T19:46:32Z",""
"LMTD003970123","","9866641","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:51:46Z",""
"LMTD003970127","","11182871","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:52:50Z",""
"LMTD003970148","","21485507","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:57:42Z",""
"LMTD003970133","","13659345","","","","","","","688","","TDTXXXX","","50101","","1","000298216","","2018-01-07T19:54:42Z",""
"LMKM003970142","","12038533","","","","","","","711","","KMAXXXX","","50101","","1","011113545","","2018-01-07T19:56:35Z",""
"LMMM003970145","","19774875","","","","","","","688","","MMAXSVG","","50101","","1","000298216","","2018-01-07T19:57:08Z",""
"LMMM003970150","","21575139","","","","","","","688","","MMAXSVG","","50101","","1","000298216","","2018-01-07T19:58:43Z",""
"LMMM004004669","","12065957","","","","","","","719","","MMAXSVG","","60201","","1","011076403","","2018-02-04T10:55:41Z",""
"LMPR004004673","","15610926","","","","","","","319","","PROMPTX","","60403","","1","000377846","","2018-02-04T11:38:42Z",""
"LMMT004004674","","350363","","","","","","","319","","MTFBOND","","60403","","1","000377846","","2018-02-04T11:40:17Z",""
"LMMM004086680","","5219334","","","","","","","652","","MMAXSVG","","60403","","10","011165131","","2018-04-08T11:20:58Z",""
"LMCR003970373","","6140004","","","","","","","349","","CRTCHEQ","","60201","","1","000053033","","2018-01-08T10:28:19Z",""
"LMTD003979571","","7488381","","","","","","","326","","TDTXXXX","","50101","","1","000134619","","2018-01-15T11:30:16Z",""
"LMMM003972746","","5346584","","","","","","","378","","MMAXATM","","50101","","1","000336537","","2018-01-09T17:07:53Z",""
"LMMM003972765","","10491733","","","","","","","378","","MMAXSVG","","50101","","1","000336537","","2018-01-09T17:18:52Z",""
"LMSV004004824","","5213801","","","","","","","530","","SVGXXXX","","60403","","1","000319251","","2018-02-04T18:40:41Z",""
"LMMM003979867","","3837584","","","","","","","96","","MMAXSVG","","60201","","1","000158444","","2018-01-15T14:28:48Z",""
"LMTD003979868","","4200345","","","","","","","111","","TDTXXXX","","60201","","1","000319350","","2018-01-15T14:31:45Z",""
"LMKC003972121","","3625089","","","","","","","140","","KCCXXXX","","60403","","1","000325233","","2018-01-09T12:39:42Z",""
"LMMT003972156","","1060829","","","","","","","140","","MTFBOND","","60403","","1","000325233","","2018-01-09T12:52:36Z",""
"LMSM003978423","","20089944","","","","","","","530","","SMSXXXX","","60403","","1","000387142","","2018-01-13T11:40:41Z",""
"LMSV003972180","","5218654","","","","","","","140","","SVGXXXX","","60403","","1","000325233","","2018-01-09T13:06:05Z",""
"LMKC003972186","","17775279","","","","","","","140","","KCCXXXX","","60403","","1","000325233","","2018-01-09T13:09:08Z",""
"LMMM003978696","","15729731","","","","","","","719","","MMAXSVG","","60201","","1","011076403","","2018-01-13T16:41:08Z",""
"LMMM003980248","","6671518","","","","","","","322","","MMAXSVG","","60201","","1","000172551","","2018-01-15T16:54:58Z",""
"LMVD003972210","","12895375","","","","","","","140","","VDBXXXX","","60403","","1","000325233","","2018-01-09T13:17:59Z",""
"LMSV003972214","","6291395","","","","","","","85","","SVGXXXX","","50101","","1","000183731","","2018-01-09T13:19:07Z",""
"LMKC003972534","","7968674","","","","","","","514","","KCCVSPT","","60403","","1","000191916","","2018-01-09T15:39:45Z",""
"LMVD003973133","","479104","","","","","","","652","","VDBXXXX","","60403","","1","000329722","","2018-01-09T20:56:41Z",""
"LMSV003973161","","6176460","","","","","","","592","","SVGXXXX","","60201","","1","000194449","","2018-01-10T08:54:43Z",""
"LMMT003973257","","4036648","","","","","","","96","","MTFXXXX","","60201","","1","000135640","","2018-01-10T09:34:01Z",""
"LMMM003980025","","6384516","","","","","","","322","","MMAXSVG","","60201","","1","000133850","","2018-01-15T15:43:39Z",""
"LMMM003980085","","15381366","","","","","","","96","","MMAXSVG","","60201","","1","000090779","","2018-01-15T16:09:23Z",""
"LMMM003980199","","3487051","","","","","","","322","","MMAXSVG","","60201","","1","000172551","","2018-01-15T16:44:54Z",""
"LMAY003973419","","5804309","","","","","","","333","","AYFDLMF","","50101","","1","011111531","","2018-01-10T10:30:20Z",""
"LMSV003979963","","6846236","","","","","","","322","","SVGXXXX","","60201","","1","000133850","","2018-01-15T15:18:01Z",""
"LMPL003980037","","6274179","","","","","","","373","","PLNSCHN","","50101","","1","000269753","","2018-01-15T15:48:40Z",""
"LMSV003970595","","9772780","","","","","","","140","","SVGXXXX","","60403","","1","011198330","","2018-01-08T13:17:18Z",""
"LMMM003971564","","3238680","","","","","","","719","","MMAXSVG","","60201","","1","000405241","","2018-01-08T20:04:04Z",""
"LMSV003975242","","8791425","","","","","","","592","","SVGXXXX","","60201","","1","000194449","","2018-01-11T10:57:45Z",""
"LMVD003980100","","9695499","","","","","","","96","","VDBXXXX","","60201","","1","000135640","","2018-01-15T16:14:46Z",""
"LMMM003971024","","12246046","","","","","","","322","","MMAXSVG","","60201","","1","000400580","","2018-01-08T15:52:24Z",""
"LMSV003972061","","1044219","","","","","","","140","","SVGXXXX","","60403","","1","000325233","","2018-01-09T12:13:08Z",""
"LMMM003979966","","9292546","","","","","","","322","","MMAXSVG","","60201","","1","000133850","","2018-01-15T15:19:11Z",""
"LMEL003980001","","725013","","","","","","","530","","ELTKOLN","","60403","","1","000387142","","2018-01-15T15:27:59Z",""
"LMSV003970633","","3063269","","","","","","","140","","SVGXXXX","","60403","","1","011198330","","2018-01-08T13:37:56Z",""
"LMSV003970848","","14004379","","","","","","","530","","SVGXXXX","","60403","","1","000319251","","2018-01-08T14:47:05Z",""
"LMSV003979342","","8743858","","","","","","","322","","SVGXXXX","","60201","","1","000133850","","2018-01-15T09:21:11Z",""
"LMSV003979351","","639404","","","","","","","322","","SVGXXXX","","60201","","1","000133850","","2018-01-15T09:26:13Z",""
"LMSM003972097","","3026746","","","","","","","140","","SMSXXXX","","60403","","1","000325233","","2018-01-09T12:29:46Z",""
"LMSM003972098","","6985476","","","","","","","140","","SMSXXXX","","60403","","1","000325233","","2018-01-09T12:30:28Z",""
"LMPA003972739","","755643","","","","","","","50","","PACXXXX","","60201","","1","000184879","","2018-01-09T17:04:13Z",""
"LMTH003972907","","751602","","","","","","","411","","THASMGL","","60403","","1","011093242","","2018-01-09T17:51:46Z",""
"LMPA003972935","","1052030","","","","","","","55","","PACXXXX","","60201","","1","000370981","","2018-01-09T17:59:31Z",""
"LMSM003970744","","15871304","","","","","","","592","","SMSXXXX","","60201","","1","000228809","","2018-01-08T14:22:22Z",""
"LMSM003970752","","17940815","","","","","","","592","","SMSXXXX","","60201","","1","000228809","","2018-01-08T14:23:20Z",""
"LMKM003970855","","15824793","","","","","","","111","","KMAXXXX","","60201","","1","000319350","","2018-01-08T14:48:41Z",""
"LMKC003970928","","3265650","","","","","","","96","","KCCXXXX","","60201","","1","000135640","","2018-01-08T15:07:52Z",""
"LMKC003972069","","645763","","","","","","","140","","KCCXXXX","","60403","","1","000325233","","2018-01-09T12:18:15Z",""
"LMEL003972073","","12014061","","","","","","","140","","ELTKOLN","","60403","","1","000325233","","2018-01-09T12:19:11Z",""
"LMCM003971133","","684026","","","","","","","378","","CMLXXXX","","50101","","1","000336537","","2018-01-08T16:38:03Z",""
"LMSV003971391","","17971689","","","","","","","50","","SVGXXXX","","60201","","1","000126383","","2018-01-08T17:43:49Z",""
"LMMM003972382","","9861283","","","","","","","111","","MMAXSVG","","60201","","1","000050617","","2018-01-09T14:39:16Z",""
"LMSV003971405","","4264589","","","","","","","50","","SVGXXXX","","60201","","1","000126383","","2018-01-08T17:49:41Z",""
"LMSV003971429","","6628390","","","","","","","333","","SVGXXXX","","50101","","1","011055555","","2018-01-08T18:02:56Z",""
"LMSV003971437","","10665825","","","","","","","333","","SVGXXXX","","50101","","1","011055555","","2018-01-08T18:04:54Z",""
"LMSV003971553","","3889053","","","","","","","711","","SVGXXXX","","50101","","1","000234906","","2018-01-08T19:18:57Z",""
"LMMM003971565","","4193898","","","","","","","719","","MMAXSVG","","60201","","1","000405241","","2018-01-08T20:06:50Z",""
"LMSV003971631","","13924931","","","","","","","592","","SVGXXXX","","60201","","1","000194449","","2018-01-09T08:22:22Z",""
"LMSM003971862","","21691675","","","","","","","592","","SMSXXXX","","60201","","1","000228809","","2018-01-09T10:38:10Z",""
"LMSM003972138","","5267025","","","","","","","140","","SMSXXXX","","60403","","1","000325233","","2018-01-09T12:43:57Z",""
"LMKC003972146","","577422","","","","","","","140","","KCCXXXX","","60403","","1","000325233","","2018-01-09T12:46:50Z",""
"LMSM003972168","","14761630","","","","","","","140","","SMSXXXX","","60403","","1","000325233","","2018-01-09T12:58:11Z",""
"LMTD003972204","","3816092","","","","","","","373","","TDT09MX","","50101","","1","011133352","","2018-01-09T13:15:14Z",""
"LMKC003972205","","7278140","","","","","","","140","","KCCXXXX","","60403","","1","000325233","","2018-01-09T13:15:26Z",""
"LMPL003972207","","6821383","","","","","","","140","","PLNXXXX","","60403","","1","000325233","","2018-01-09T13:17:03Z",""
"LMSV003972211","","7992061","","","","","","","85","","SVGXXXX","","50101","","1","000183731","","2018-01-09T13:18:24Z",""
"LMCM003972536","","900012366","","","","","","","288","","CMLXXXX","","60403","","10","011049624","","2018-01-18T10:14:50Z",""
"LMSV003972560","","570888","","","","","","","333","","SVGXXXX","","50101","","1","000157289","","2018-01-09T16:01:54Z",""
"LMSV004004684","","9189213","","","","","","","792","","SVGATMX","","60201","","1","000192641","","2018-02-04T12:12:14Z",""
"LMEL003972558","","9334962","","","","","","","530","","ELTKOLN","","60403","","1","000387142","","2018-01-09T16:01:37Z",""
"LMSV003972733","","16688195","","","","","","","50","","SVGXXXX","","60201","","1","000126383","","2018-01-09T17:00:41Z",""
"LMSV003972771","","7175612","","","","","","","333","","SVGXXXX","","50101","","1","011055555","","2018-01-09T17:22:00Z",""
"LMSV003972785","","5907390","","","","","","","333","","SVGXXXX","","50101","","1","011055555","","2018-01-09T17:26:29Z",""
"LMPA003972882","","11989503","","","","","","","50","","PACXXXX","","60201","","1","000184879","","2018-01-09T17:46:07Z",""
"LMMM003973237","","7243100","","","","","","","111","","MMAXSVG","","60201","","1","000319350","","2018-01-10T09:25:10Z",""
"LMVD003971488","","6140256","","","","","","","55","","VDBXXXX","","60201","","1","000230383","","2018-01-08T18:25:43Z",""
"LMSV003972315","","16108189","","","","","","","140","","SVGXXXX","","60403","","1","000337519","","2018-01-09T14:00:06Z",""
"LMSM003971732","","8516070","","","","","","","318","","SMSXXXX","","60403","","1","011170677","","2018-01-09T09:37:47Z",""
"LMMM003971755","","13557711","","","","","","","719","","MMAXSVG","","60201","","1","000234419","","2018-01-09T09:44:07Z",""
"LMSM003971971","","19222741","","","","","","","318","","SMSXXXX","","60403","","1","011170677","","2018-01-09T11:23:31Z",""
"LMSM003971986","","5254674","","","","","","","318","","SMSXXXX","","60403","","1","011170677","","2018-01-09T11:34:58Z",""
"LMIN003975084","","14004108","","","","","","","333","","INHHLTH","","50101","","1","011010329","","2018-01-11T09:34:43Z",""
"LMVD003976102","","3693620","","","","","","","55","","VDBXXXX","","60201","","1","000150896","","2018-01-11T17:20:44Z",""
"LMSV003976580","","5305739","","","","","","","592","","SVGXXXX","","60201","","1","000194449","","2018-01-12T08:14:18Z",""
"LMSV003976581","","5318549","","","","","","","592","","SVGXXXX","","60201","","1","000194449","","2018-01-12T08:15:09Z",""
"LMSV003972223","","5231128","","","","","","","140","","SVGXXXX","","60403","","1","000337519","","2018-01-09T13:25:47Z",""
"LMSV003972228","","5238621","","","","","","","140","","SVGXXXX","","60403","","1","000337519","","2018-01-09T13:27:08Z",""
"LMSV003972263","","679747","","","","","","","407","","SVGXXXX","","60201","","1","000403097","","2018-01-09T13:41:06Z",""
"LMSV003974377","","3284386","","","","","","","407","","SVGXXXX","","60201","","1","000403097","","2018-01-10T16:44:56Z",""
"LMSM003975156","","8903972","","","","","","","318","","SMSXXXX","","60403","","1","011017753","","2018-01-11T10:10:37Z",""
"LMSV003975224","","11161644","","","","","","","264","","SVGXXXX","","50101","","1","000295998","","2018-01-11T10:48:05Z",""
"LMSV003975229","","12215064","","","","","","","264","","SVGXXXX","","50101","","1","000295998","","2018-01-11T10:50:22Z",""
"LMSV003975231","","12747931","","","","","","","264","","SVGXXXX","","50101","","1","000295998","","2018-01-11T10:50:58Z",""
"LMSV003972510","","18512453","","","","","","","514","","SVGATMX","","60403","","1","000191916","","2018-01-09T15:25:17Z",""
"LMMM003972537","","8785870","","","","","","","50","","MMAXSVG","","60201","","1","000126383","","2018-01-09T15:45:37Z",""
"LMTD003974472","","4043201","","","","","","","373","","TDT09MX","","50101","","1","011133352","","2018-01-10T17:13:11Z",""
"LMEL003970872","","3422816","","","","","","","347","","ELTXXXX","","60403","","1","000393256","","2018-01-08T14:52:24Z",""
"LMEL003970965","","3571841","","","","","","","347","","ELTXXXX","","60403","","1","000393256","","2018-01-08T15:24:38Z",""
"LMSV003975313","","1072068","","","","","","","318","","SVGXXXX","","60403","","1","000193987","","2018-01-11T11:45:33Z",""
"LMMM003973580","","7926962","","","","","","","85","","MMAXSVG","","50101","","1","000183731","","2018-01-10T11:16:41Z",""
"LMSV003973783","","8361490","","","","","","","333","","SVGXXXX","","50101","","1","011111531","","2018-01-10T13:24:50Z",""
"LMPA003971131","","1085217","","","","","","","322","","PACXXXX","","60201","","1","000172551","","2018-01-08T16:37:33Z",""
"LMPA003971365","","12086849","","","","","","","322","","PACXXXX","","60201","","1","000172551","","2018-01-08T17:33:11Z",""
"LMSV003972609","","15073868","","","","","","","407","","SVGXXXX","","60201","","1","000403097","","2018-01-09T16:19:48Z",""
"LMSV003971427","","5768772","","","","","","","333","","SVGXXXX","","50101","","1","011055555","","2018-01-08T18:01:57Z",""
"LMSV003971554","","3440962","","","","","","","711","","SVGXXXX","","50101","","1","000234906","","2018-01-08T19:20:01Z",""
"LMSV003971560","","9916179","","","","","","","711","","SVGXXXX","","50101","","1","000234906","","2018-01-08T19:41:42Z",""
"LMSV003970704","","12141199","","","","","","","140","","SVGATMX","","60403","","1","000317420","","2018-01-08T14:08:14Z",""
"LMSM003970741","","14763507","","","","","","","592","","SMSXXXX","","60201","","1","000228809","","2018-01-08T14:21:35Z",""
"LMEL003970907","","3433243","","","","","","","347","","ELTXXXX","","60403","","1","000393256","","2018-01-08T15:02:35Z",""
"LMMM003971145","","16126069","","","","","","","140","","MMAXSVG","","60403","","1","000325233","","2018-01-08T16:41:56Z",""
"LMMM003971174","","4277687","","","","","","","322","","MMAXSVG","","60201","","1","000172551","","2018-01-08T16:49:02Z",""
"LMMG003971281","","21553274","","","","","","","288","","MGLXXXX","","60403","","1","011026242","","2018-01-08T17:14:32Z",""
"LMEL003970857","","984997","","","","","","","347","","ELTXXXX","","60403","","1","000393256","","2018-01-08T14:48:59Z",""
"LMMM003970252","","363980","","","","","","","719","","MMAXSVG","","60201","","1","000234419","","2018-01-08T09:29:18Z",""
"LMKC003972094","","4282467","","","","","","","140","","KCCXXXX","","60403","","1","000325233","","2018-01-09T12:28:34Z",""
"LMSV003971721","","4209743","","","","","","","111","","SVGXXXX","","60201","","1","000319350","","2018-01-09T09:33:26Z",""
"LMMT003972200","","816742","","","","","","","373","","MTFXXXX","","50101","","1","011133352","","2018-01-09T13:13:32Z",""
"LMEL003972167","","772434","","","","","","","140","","ELTKOLN","","60403","","1","000325233","","2018-01-09T12:57:05Z",""
"LMSV003972195","","14164911","","","","","","","140","","SVGXXXX","","60403","","1","000325233","","2018-01-09T13:12:21Z",""
"LMSV003972153","","6808668","","","","","","","140","","SVGXXXX","","60403","","1","000325233","","2018-01-09T12:50:41Z",""
"LMTD003972188","","19711850","","","","","","","373","","TDT09MX","","50101","","1","011133352","","2018-01-09T13:10:14Z",""
"LMSV003973182","","206176","","","","","","","592","","SVGXXXX","","60201","","1","000194449","","2018-01-10T09:02:11Z",""
"LMMM004128397","","88039","","","","","","","688","","MMAXSVG","","50101","","1","000342063","","2018-05-06T12:48:45Z",""
"LMEL003970959","","3438937","","","","","","","347","","ELTXXXX","","60403","","1","000393256","","2018-01-08T15:21:49Z",""
"LMEL003970983","","3653452","","","","","","","347","","ELTXXXX","","60403","","1","000393256","","2018-01-08T15:34:26Z",""
"LMEL003971031","","844505","","","","","","","530","","ELTKOLN","","60403","","1","000387142","","2018-01-08T15:55:51Z",""
"LMKC003972209","","8852671","","","","","","","799","","KCCXXXX","","60403","","1","000189878","","2018-01-09T13:17:51Z",""
"LMKC003972858","","100000000039001","","","","","","","140","","KCCLADY","","60403","","1","000395566","","2018-01-09T17:42:22Z",""
"LMTD003972919","","836345","","","","","","","55","","TDT09MX","","60201","","1","000370981","","2018-01-09T17:54:20Z",""
"LMEL003972946","","18588867","","","","","","","411","","ELTKOLN","","60403","","1","011093242","","2018-01-09T18:03:16Z",""
"LMSV003980393","","19674447","","","","","","","333","","SVGXXXX","","50101","","1","011055555","","2018-01-15T17:32:36Z",""
"LMVD003975696","","9737344","","","","","","","318","","VDBXXXX","","60403","","1","011017753","","2018-01-11T15:23:22Z",""
"LMTH003977187","","10405887","","","","","","","140","","THASMSL","","60403","","1","000395566","","2018-01-12T13:45:40Z",""
"LMSV003977189","","10405887","","","","","","","140","","SVGXXXX","","60403","","1","000395566","","2018-01-12T13:46:04Z",""
"LMMG003980554","","9535157","","","","","","","373","","MGLKRRF","","50101","","2","011107265","","2018-01-15T18:03:53Z",""
"LMEL003980566","","4126578","","","","","","","96","","ELTKOLN","","60201","","1","000158444","","2018-01-15T18:06:24Z",""
"LMSV003980571","","4266375","","","","","","","50","","SVGXXXX","","60201","","1","000126383","","2018-01-15T18:07:01Z",""
"LMSM003980572","","803636","","","","","","","140","","SMSXXXX","","60403","","1","000325233","","2018-01-15T18:07:06Z",""
"LMTD003974443","","4287147","","","","","","","373","","TDT09MX","","50101","","1","011133352","","2018-01-10T17:06:29Z",""
"LMTD003974480","","3635835","","","","","","","373","","TDT09MX","","50101","","1","011133352","","2018-01-10T17:14:52Z",""
"LMTD003974490","","786584","","","","","","","373","","TDT09MX","","50101","","1","011133352","","2018-01-10T17:18:45Z",""
"LMEL003975197","","15895337","","","","","","","318","","ELTKOLN","","60403","","1","011017753","","2018-01-11T10:30:39Z",""
"LMSV003975225","","9283263","","","","","","","264","","SVGXXXX","","50101","","1","000295998","","2018-01-11T10:48:36Z",""
"LMSV003976100","","10745668","","","","","","","333","","SVGXXXX","","50101","","1","000267708","","2018-01-11T17:20:15Z",""
"LMSV003976179","","4210131","","","","","","","50","","SVGXXXX","","60201","","1","000126383","","2018-01-11T17:41:11Z",""
"LMKC003972944","","18323210","","","","","","","50","","KCCXXXX","","60201","","1","000184879","","2018-01-09T18:02:44Z",""
"LMAT003972954","","14078678","","","","","","","50","","ATMXXXX","","60201","","1","000184879","","2018-01-09T18:05:53Z",""
"LMSV003975829","","18723211","","","","","","","592","","SVGXXXX","","60201","","1","000281436","","2018-01-11T16:16:32Z",""
"LMCR003975852","","4108211","","","","","","","592","","CRTXXXX","","60201","","1","000281436","","2018-01-11T16:23:20Z",""
"LMVD003971085","","18924495","","","","","","","140","","VDBXXXX","","60403","","1","000395566","","2018-01-08T16:16:08Z",""
"LMSV003976033","","300724","","","","","","","711","","SVGXXXX","","50101","","1","000234906","","2018-01-11T17:08:09Z",""
"LMMG003977384","","20272720","","","","","","","50","","MGLXXXX","","60201","","1","000184879","","2018-01-12T15:08:26Z",""
"LMEL003978400","","12262513","","","","","","","530","","ELTKOLN","","60403","","1","000387142","","2018-01-13T11:22:21Z",""
"LMEL003978408","","4012590","","","","","","","530","","ELTKOLN","","60403","","1","000387142","","2018-01-13T11:29:45Z",""
"LMSV003976738","","8811933","","","","","","","592","","SVGXXXX","","60201","","1","000281436","","2018-01-12T09:43:24Z",""
"LMEN003971390","","430106","","","","","","","233","","ENDXXXX","","60201","","1","000184275","","2018-01-08T17:43:39Z",""
"LMSV003971410","","12890369","","","","","","","140","","SVGXXXX","","60403","","1","011198330","","2018-01-08T17:54:07Z",""
"LMVD003971462","","17520234","","","","","","","55","","VDBXXXX","","60201","","1","000230383","","2018-01-08T18:13:27Z",""
"LMSV003976035","","18757158","","","","","","","373","","SVGXXXX","","50101","","1","000221952","","2018-01-11T17:08:22Z",""
"LMSV003976042","","9851093","","","","","","","711","","SVGXXXX","","50101","","1","000234906","","2018-01-11T17:09:37Z",""
"LMSV003976116","","3850494","","","","","","","185","","SVGXXXX","","50101","","1","000365817","","2018-01-11T17:24:28Z",""
"LMEL003976130","","1018036","","","","","","","373","","ELTKOLN","","50101","","1","011107265","","2018-01-11T17:27:01Z",""
"LMVD003977455","","5751009","","","","","","","55","","VDBXXXX","","60201","","1","000230383","","2018-01-12T15:36:38Z",""
"LMSV003973688","","10225189","","","","","","","596","","SVGXXXX","","50101","","1","000286823","","2018-01-10T12:36:55Z",""
"LMSV003971917","","14380630","","","","","","","648","","SVGXXXX","","50101","","1","011047297","","2018-01-09T10:56:29Z",""
"LMSM003975566","","5408667","","","","","","","592","","SMSXXXX","","60201","","1","000228809","","2018-01-11T13:52:32Z",""
"LMKF003976232","","17047350","","","","","","","333","","KFCVISA","","50101","","1","011010329","","2018-01-11T17:53:53Z",""
"LMSV003975259","","12058974","","","","","","","530","","SVGXXXX","","60403","","1","000236687","","2018-01-11T11:14:35Z",""
"LMEL003979969","","588568","","","","","","","530","","ELTKOLN","","60403","","1","000387142","","2018-01-15T15:19:44Z",""
"LMSV003975571","","6624032","","","","","","","592","","SVGXXXX","","60201","","1","000228809","","2018-01-11T13:53:47Z",""
"LMKF003976255","","10581648","","","","","","","333","","KFCVISA","","50101","","1","011010329","","2018-01-11T18:01:04Z",""
"LMSV003977841","","11409806","","","","","","","373","","SVGXXXX","","50101","","1","000121285","","2018-01-12T17:31:49Z",""
"LMMM003978706","","18138482","","","","","","","719","","MMAXSVG","","60201","","1","011076403","","2018-01-13T16:53:13Z",""
"LMSV003974521","","8682040","","","","","","","378","","SVGXXXX","","50101","","1","011204146","","2018-01-10T17:33:19Z",""
"LMSV003980091","","14308087","","","","","","","96","","SVGXXXX","","60201","","1","000090779","","2018-01-15T16:10:56Z",""
"LMPA003980206","","3552189","","","","","","","322","","PACXXXX","","60201","","1","000172551","","2018-01-15T16:46:00Z",""
"LMEL003972890","","795194","","","","","","","96","","ELTKOLN","","60201","","1","000158444","","2018-01-09T17:48:22Z",""
"LMSV003975441","","10789017","","","","","","","711","","SVGXXXX","","50101","","1","000234906","","2018-01-11T12:54:20Z",""
"LMMM003977977","","4189332","","","","","","","50","","MMAXSVG","","60201","","1","000091751","","2018-01-30T08:37:56Z",""
"LMMM003970408","","12870489","","","","","","","719","","MMAXSVG","","60201","","1","000234419","","2018-01-08T10:42:49Z",""
"LMSM003971900","","1021944","","","","","","","592","","SMSXXXX","","60201","","1","000228809","","2018-01-09T10:52:58Z",""
"LMSV003972174","","945749","","","","","","","140","","SVGXXXX","","60403","","1","000337519","","2018-01-09T13:03:44Z",""
"LMSM003972198","","7961929","","","","","","","140","","SMSXXXX","","60403","","1","000325233","","2018-01-09T13:13:17Z",""
"LMVD003975575","","5466444","","","","","","","111","","VDBXXXX","","60201","","1","000319350","","2018-01-11T13:56:31Z",""
"LMMM003975581","","8639236","","","","","","","111","","MMAXSVG","","60201","","1","000319350","","2018-01-11T14:01:55Z",""
"LMVD003976118","","4090326","","","","","","","55","","VDBXXXX","","60201","","1","000150896","","2018-01-11T17:24:42Z",""
"LMSV003971001","","9591556","","","","","","","592","","SVGXXXX","","60201","","1","000194449","","2018-01-08T15:44:28Z",""
"LMTD003971023","","802131","","","","","","","530","","TDT06MX","","60403","","1","000387142","","2018-01-08T15:52:04Z",""
"LMSV003971093","","7420550","","","","","","","407","","SVGXXXX","","60201","","1","000403097","","2018-01-08T16:19:36Z",""
"LMPA003971161","","4237159","","","","","","","322","","PACXXXX","","60201","","1","000172551","","2018-01-08T16:45:25Z",""
"LMVD003971217","","5417189","","","","","","","322","","VDBXXXX","","60201","","1","000172551","","2018-01-08T17:01:06Z",""
